name,quote
Paul Valery,"Books have the same enemies as people: fire, humidity, animals, weather, and their own content."
Paul Valery,"God made everything out of nothing, but the nothingness shows through."
Paul Valery,"In the eyes of those lovers of perfection, a work is never finished--a word that for them has no sense--but abandoned; and this abandonment, whether to the flames or to the public (and which is the result of weariness or an obligation to deliver) is a kind of an accident to them, like the breaking off of a reflection, which fatigue, irritation, or something similar has made worthless."
Paul Valery,It is a law of nature that we defend ourselves from one affection only by means of another.
Paul Valery,"Man is only man at the surface. Remove the skin, dissect, and immediately you come to machinery."
Paul Valery,"That which has always been accepted by everyone, everywhere, is almost certain to be false."
Paul Valery,The trouble with our times is that the future is not what it used to be.
Paul Valery,"What others think of us would be of little moment did it not, when known, so deeply tinge what we think of ourselves."
Paul Valery,"The folly of mistaking a paradox for a discovery, a metaphor for a proof, a torrent of verbiage for a spring of capital truths, and oneself for an oracle, is inborn in us."
Paul Valery,Politics is the art of preventing people from taking part in affairs which properly concern them.
Jeff Valdez,Cats are smarter than dogs. You can't get eight cats to pull a sled through snow.
Mike Myers,"Canada is the essence of not being. Not English, not American, it is the mathematic of not being. And a subtle flavour - we're more like celery as a flavour."
Mike Myers,I still believe that at any time the no-talent police will come and arrest me.
Mike Myers,My theory is that all of Scottish cuisine is based on a dare.
Mike Myers,"Silly is you in a natural state, and serious is something you have to do until you can get silly again."
Mike Myers,"And I loved the whole idea behind the story, which is that you're beautiful, so don't let other people tell you that you're not just because you don't look like the people in magazines. Or because you're not that weird ideal body image that's out there right now."
Martin Myers,"First you're an unknown, then you write one book and you move up to obscurity."
Bill Murray,The best way to teach your kids about taxes is by eating 30% of their ice cream.
Bill Murray,I don't have to take this abuse from you -- I've got hundreds of people waiting to abuse me.
Maureen Murphy,The reason there are so few female politicians is that it is too much trouble to put makeup on two faces.
Sue Murphy,Did you ever walk into a room and forget why you walked in? I think that's how dogs spend their lives.
Edward R. Murrow,Anyone who isn't confused really doesn't understand the situation.
Edward R. Murrow,Just because your voice reaches halfway around the world doesn't mean you are wiser than when it reached only to the end of the bar.
Edward R. Murrow,"Most truths are so naked that people feel sorry for them and cover them up, at least a little bit."
Edward R. Murrow,"No one can terrorize a whole nation, unless we are all his accomplices."
Edward R. Murrow,"The obscure we see eventually. The completely obvious, it seems, takes longer."
Edward R. Murrow,The speed of communications is wondrous to behold. It is also true that speed can multiply the distribution of information that we know to be untrue.
Edward R. Murrow,We cannot defend freedom abroad by deserting it at home.
Edward R. Murrow,"We must not confuse dissent with disloyalty. When the loyal opposition dies, I think the soul of America dies with it."
Edward R. Murrow,"We will not walk in fear, one of another. We will not be driven into an age of unreason if we dig deep into our history and remember we are not descended from fearful men."
Edward R. Murrow,"When the politicians complain that TV turns the proceedings into a circus, it should be made clear that the circus was already there, and that TV has merely demonstrated that not all the performers are well trained."
Edward R. Murrow,No man can terrorize a whole nation unless we are all his accomplices.
Edward R. Murrow,Everyone is a prisoner of his own experiences. No one can eliminate prejudices - just recognize them.
Joseph Murphy,We go where our vision is.
Dr. Howard Murphy,It is impossible to walk rapidly and be unhappy.
Brittany Murphy,"Everybody has difficult years, but a lot of times the difficult years end up being the greatest years of your whole entire life, if you survive them."
Iris Murdoch,Love is the difficult realization that something other than oneself is real.
Iris Murdoch,We can only learn to love by loving.
Nickolas Muray,"Photography, fortunately, to me has not only been a profession but also a contact between people - to understand human nature and record, if possible, the best in each individual."
William Bennet Munro,"People vote their resentment, not their appreciation. The average man does not vote for anything, but against something."
Alice Munro,"Moments of kindness and reconciliation are worth having, even if the parting has to come sooner or later."
Lewis Mumford,Humor is our way of defending ourselves from life's absurdities by thinking absurdly about them.
Lewis Mumford,"Modern Man is the victim of the very instruments he values most. Every gain in power, every mastery of natural forces, every scientific addition to knowledge, has proved potentially dangerous, because it has not been accompanied by equal gains in self-understanding and self-discipline."
Lewis Mumford,Our national flower is the concrete cloverleaf.
Lewis Mumford,Traditionalists are pessimists about the future and optimists about the past.
Ethel Mumford,God gives us relatives; thank God we can choose our friends.
Ethel Mumford,"Knowledge is power, if you know it about the right person."
Shawn Mullins,But I am a dreamer
Shawn Mullins, So you sent me away.
Shawn Mullins, Sometimes we dreamers
Shawn Mullins, Just get in the way.
Aimee Mullins,Confidence is the sexiest thing a woman can have. It's much sexier than any body part.
Aimee Mullins,"Interestingly, from an identity standpoint, what does it mean to have a disability? Pamela Anderson has more prosthetic in her body than I do and nobody calls her disabled."
Martin Mull,"Human beings are seventy percent water, and with some the rest is collagen."
Martin Mull,The town where I grew up has a zip code of E-I-E-I-O.
Martin Mull,The trouble with jogging is that the ice falls out of your glass.
John Muir,"I know that our bodies were made to thrive only in pure air, and the scenes in which pure air is found. There is not a ""fragment"" in all nature, for every relative fragment of one thing is a full harmonious unit in itself."
